Dest Lat,Dest Long,Source Lat,Source Lon
-37.6733,144.843,-31.9403,115.967
-37.0081,174.79201,-31.9403,115.967
-35.3069,149.19501,-31.9403,115.967
-34.945,138.53101,-31.9403,115.967
-34.9433,117.809,-31.9403,115.967
-33.9461,151.177,-31.9403,115.967
-33.7972,120.208,-31.9403,115.967
-33.68842,115.4016,-31.9403,115.967
-33.6844,121.823,-31.9403,115.967
-30.7894,121.462,-31.9403,115.967
-28.7961,114.707,-31.9403,115.967
-27.3842,153.117,-31.9403,115.967
-26.1392,28.246,-31.9403,115.967
-23.8067,133.90199,-31.9403,115.967
-23.4178,119.803,-31.9403,115.967
-23.1711,117.745,-31.9403,115.967
-22.2356,114.089,-31.9403,115.967
